Date,AHT,ALT,ARH,WS,RAINFALL
2-2-1989,27.4,22.3,,0.0,70
3-2-1989,30.2,21.9,,1.0,3
4-2-1989,28.2,23,,0.0,0
5-2-1989,27.2,21.9,,0.0,9
6-2-1989,28,25.5,,0.0,25.6
7-2-1989,30,23.5,,1.1,0
8-2-1989,28.2,21.9,,0.0,0
9-2-1989,30.1,22.5,,0.33,86
10-2-1989,29.1,24,,0.77,11.6
11-2-1989,28.4,22,,0.67,0.5
12-2-1989,27.4,22.9,,0.33,63
13-2-1989,28.1,21.3,,0.33,13.4
14-2-1989,30,23,,0.33,0.1
15-2-1989,28,23.5,,0.0,0
16-2-1989,28,21.3,,0.0,34.2
17-2-1989,30.1,22.9,,1.1,23.4
18-2-1989,28.6,22,,0.67,0
19-2-1989,27.2,21.6,,1.1,18
20-2-1989,32.1,22,,0.0,0.4
21-2-1989,27.6,22.3,,0.33,0
22-2-1989,31,23.5,,0.77,5.6
23-2-1989,30.2,21.3,,0.0,17.4
24-2-1989,29,23.5,,0.0,5.8
25-2-1989,26.4,22,,0.0,10
26-2-1989,27,22.6,,0.0,9.8
27-2-1989,28,22.9,,0.0,3.4
28-2-1989,27.3,22,,0.0,6.8
1-2-1990,31.2,24.2,77.25,2.47,0
2-2-1990,32,24.2,83.5,1.0,0.8
3-2-1990,28.6,22,92,0.0,12.2
4-2-1990,29.6,22.4,87.25,0.0,23
5-2-1990,26,22,,2.33,12
6-2-1990,30.6,23,82.75,1.67,2.8
7-2-1990,28.4,23,96.25,0.67,0
8-2-1990,31.2,23,83.25,2.0,18.4
9-2-1990,28.1,23.4,84.75,1.67,0
10-2-1990,30.2,22.4,84,0.8,1.6
11-2-1990,32.3,23,69.5,1.77,0.5
12-2-1990,30,23.4,81,1.8,1.1
13-2-1990,28.8,23,81.75,2.33,18
14-2-1990,32.2,23.2,73,2.33,0.6
15-2-1990,31.8,23.8,79.25,0.67,0.2
16-2-1990,32,23,70.5,2.67,0
17-2-1990,30.2,23.8,87.25,0.0,0.3
18-2-1990,30.3,23.8,79.75,1.8,0.5
19-2-1990,31,22,90.25,0.67,18.4
20-2-1990,29.3,22.4,91.25,1.77,43.5
21-2-1990,30.3,22.4,90,2.0,16.7
22-2-1990,31,22.4,79.75,1.47,5.6
23-2-1990,32.2,23,86.25,1.0,1.8
24-2-1990,31.1,23.8,84.25,1.0,4.6
25-2-1990,31,24.6,77.25,0.8,0
26-2-1990,27.6,24,93.5,0.33,0.6
27-2-1990,29.6,23,87.5,1.0,6.8
28-2-1990,32,23,72.25,2.13,0
1-2-1991,29.6,22,84,4.27,9.8
